Condition Bin,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct
Not Sig Rainy,7464,5180,2284,69.39978563772776
Sig Rainy,697,429,268,61.54949784791965
Not Snowy,7222,4987,2235,69.052893935198
Snowy,939,622,317,66.24068157614484
Not Windy,8039,5536,2503,68.86428660281129
Windy,122,73,49,59.83606557377049
Not Foggy,8159,5609,2550,68.74616987375904
Foggy,2,0,2,0
