Term,Major Desc,Credits
Spring 2024,Environmental Geoscience,28
Spring 2024,Environmental Health,13
Spring 2024,Exercise Science,42
Spring 2024,Fashion Design,49
Spring 2024,Film,16
Spring 2024,Finance,313
Spring 2024,Finance-U,121
Spring 2024,Food Studies,12
Spring 2024,Forensic Science,15
Spring 2024,"Forest Technology,Natural Resources Management",13
Spring 2024,GIS and Spatial Analysis,9
Spring 2024,Geography,28
Spring 2024,Geology,18
Spring 2024,Global Health,12
Spring 2024,Graphic Design,49
Spring 2024,Health and Exercise Science,688
Spring 2024,Health and Physical Education,15
Spring 2024,"Higher Postsecondary Education,Intercol Athletc Advsng&Supprt",3
Spring 2024,History,133
Spring 2024,Human Development & Family Sci,324
Spring 2024,Incl Elem&Sp Ed Tchr Prep Prog,35.5
Spring 2024,Industrial and Interaction Dsg,12
Spring 2024,Info Mgmt & Technology,118
Spring 2024,Information Systems,12
Spring 2024,"Instrctnl Des, Dvlpmnt, & Eval",12
Spring 2024,Intercol Athletc Advsng&Supprt,24
Spring 2024,International Relations,137
Spring 2024,Law,50
Spring 2024,"Magazine, News & Dgtl Journlsm",10
Spring 2024,"Magazine,News&Digital Journlsm",44
Spring 2024,Management (Undeclared),91
Spring 2024,Management -U,34
Spring 2024,Management Major,77
Spring 2024,Marketing Management,176
Spring 2024,Marketing Management-U,16
Spring 2024,"Marriage & Family Therapy,Trauma-Informed Practice",12
Spring 2024,Maxwell (Undeclared),33
Spring 2024,Mechanical Engineering,97
Spring 2024,Mechanical and Aerospace Engr,6
Spring 2024,Neuroscience,16
Spring 2024,Not Specified,101
Spring 2024,Nutrition Science,32
Spring 2024,Policy Studies,52
Spring 2024,Political Philosophy,16
Spring 2024,Political Science,157
Spring 2024,Professional Accounting,15
Spring 2024,Project Management,39
Spring 2024,Psychology,816
Spring 2024,Public Administration,12
Spring 2024,Public Health,82
Spring 2024,Public Relations,106
Spring 2024,Real Estate,12
Spring 2024,Real Estate-U,28
Spring 2024,Recording&Entertainment Indust,17.5
Spring 2024,Retail Management-U,17
Spring 2024,Selected Studies In Educ,170
Spring 2024,Social Work,56
Spring 2024,Sociology,324
Spring 2024,Speech-Language Pathology(NYT),11
Spring 2024,Sport Analytics,35
Spring 2024,Sport Management,320
Spring 2024,Sport Venue & Event Management,18
Spring 2024,Sport&Human Dynamic-Undeclared,191
Spring 2024,Supply Chain Management,92
Spring 2024,"Television, Radio and Film",171
Spring 2024,Women's and Gender Studies,13.5
Spring 2024,NA,659.5
