ID,n,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct
410191681,51,36,20,16,55.55555555555556
411942912,13,11,9,2,81.81818181818183
413678324,79,52,36,16,69.23076923076923
414317766,35,23,15,8,65.21739130434783
416293837,72,48,29,19,60.416666666666664
416947747,29,20,15,5,75
419818151,13,5,5,0,100
419836864,118,72,58,14,80.55555555555556
423957563,13,3,2,1,66.66666666666666
426977827,58,27,20,7,74.07407407407408
431425969,77,40,25,15,62.5
433389552,37,27,17,10,62.96296296296296
434407709,20,18,9,9,50
441502401,82,57,31,26,54.385964912280706
443771876,14,12,9,3,75
445249765,50,18,16,2,88.88888888888889
445408513,94,63,46,17,73.01587301587301
450174820,6,4,3,1,75
450666603,4,4,1,3,25
454400613,4,4,0,4,0
457128833,31,24,21,3,87.5
461423040,28,19,11,8,57.89473684210527
462344763,12,3,3,0,100
463376808,5,4,0,4,0
464287210,14,14,6,8,42.857142857142854
467303173,5,5,4,1,80
468208966,25,15,13,2,86.66666666666667
469849342,64,43,37,6,86.04651162790698
472483977,36,16,7,9,43.75
473435282,63,43,23,20,53.48837209302325
473576355,46,19,12,7,63.1578947368421
474801693,52,27,17,10,62.96296296296296
476754718,13,10,8,2,80
477027155,4,4,1,3,25
478785549,24,10,6,4,60
479112542,46,19,13,6,68.42105263157895
479266277,41,24,21,3,87.5
480128896,7,7,5,2,71.42857142857143
481440571,2,2,1,1,50
482162391,25,22,16,6,72.72727272727273
482628646,3,3,0,3,0
485523103,41,21,8,13,38.095238095238095
487178384,27,23,13,10,56.52173913043478
491670990,29,10,9,1,90
496346759,22,18,7,11,38.88888888888889
498790125,12,5,4,1,80
500825379,12,9,7,2,77.77777777777779
502408697,22,20,14,6,70
505347828,26,7,6,1,85.71428571428571
507712298,61,30,25,5,83.33333333333334
513379227,64,47,38,9,80.85106382978722
513594698,9,6,2,4,33.33333333333333
523809244,13,12,9,3,75
523873982,65,43,37,6,86.04651162790698
524609305,43,22,20,2,90.9090909090909
525017130,118,63,51,12,80.95238095238095
525086525,48,29,13,16,44.827586206896555
525124351,28,23,17,6,73.91304347826086
526354163,56,35,26,9,74.28571428571429
527807347,14,3,1,2,33.33333333333333
533599727,55,29,18,11,62.06896551724138
534233886,15,7,7,0,100
535189650,13,10,8,2,80
537943108,3,3,0,3,0
539381167,4,4,2,2,50
543200987,53,31,26,5,83.87096774193549
544590484,42,26,21,5,80.76923076923077
547649738,24,11,10,1,90.9090909090909
549060672,17,11,9,2,81.81818181818183
555903362,28,19,14,5,73.68421052631578
556549736,4,4,1,3,25
558082565,27,18,9,9,50
558991367,10,9,5,4,55.55555555555556
560296880,46,29,16,13,55.172413793103445
560317560,40,30,18,12,60
565855868,8,5,2,3,40
570039844,99,53,42,11,79.24528301886792
578850320,15,8,4,4,50
578866561,56,39,32,7,82.05128205128204
580048937,50,35,29,6,82.85714285714286
581430115,78,36,30,6,83.33333333333334
581531806,1,1,1,0,100
582902571,41,27,15,12,55.55555555555556
583568353,4,3,0,3,0
584245270,69,44,32,12,72.72727272727273
585115889,83,67,53,14,79.1044776119403
585434729,29,8,6,2,75
585586827,107,57,40,17,70.17543859649122
589865922,5,1,0,1,0
591297029,4,4,2,2,50
593944349,39,26,19,7,73.07692307692307
594030751,25,15,11,4,73.33333333333333
594078173,25,22,15,7,68.18181818181817
599323245,50,12,10,2,83.33333333333334
601105251,57,38,32,6,84.21052631578947
603177112,5,1,1,0,100
603411577,60,40,25,15,62.5
608020433,47,22,14,8,63.63636363636363
610380003,37,28,15,13,53.57142857142857
614208111,1,1,1,0,100
615488373,3,1,0,1,0
619534238,40,28,22,6,78.57142857142857
620747791,4,2,2,0,100
625625017,3,3,1,2,33.33333333333333
628767441,27,20,8,12,40
629379122,1,0,0,0,NA
635534732,28,10,2,8,20
635820912,91,59,48,11,81.35593220338984
644263759,13,9,2,7,22.22222222222222
644940860,51,44,25,19,56.81818181818182
647725656,5,5,3,2,60
648961679,36,25,18,7,72
653917599,53,18,13,5,72.22222222222221
656992043,13,4,1,3,25
660120512,52,21,12,9,57.14285714285714
660770070,54,31,22,9,70.96774193548387
662843431,41,23,14,9,60.86956521739131
665406594,10,7,3,4,42.857142857142854
665674978,55,34,29,5,85.29411764705883
670115720,26,16,13,3,81.25
671773474,54,28,26,2,92.85714285714286
674857275,1,1,1,0,100
675006065,47,43,24,19,55.81395348837209
676613596,37,27,26,1,96.29629629629629
677119289,2,2,0,2,0
677358058,14,13,11,2,84.61538461538461
679863952,13,10,8,2,80
681760455,101,50,38,12,76
681811139,95,60,51,9,85
681969864,8,8,6,2,75
683490229,69,38,18,20,47.368421052631575
685001296,54,43,23,20,53.48837209302325
685004476,14,10,8,2,80
687157097,17,6,3,3,50
693408022,23,19,11,8,57.89473684210527
694641622,20,6,1,5,16.666666666666664
697168624,50,34,31,3,91.17647058823529
702128359,14,5,3,2,60
705295859,42,37,24,13,64.86486486486487
706716088,49,20,19,1,95
717032405,53,20,16,4,80
718236621,53,32,21,11,65.625
722806572,25,20,15,5,75
727836066,2,0,0,0,NA
727934412,1,1,1,0,100
728524780,12,11,9,2,81.81818181818183
732454674,38,23,13,10,56.52173913043478
737973422,39,11,6,5,54.54545454545454
746015532,13,12,7,5,58.333333333333336
748832287,1,1,0,1,0
751929769,2,2,0,2,0
754089021,26,6,6,0,100
755625801,110,77,49,28,63.63636363636363
758340717,1,0,0,0,NA
760003440,21,11,4,7,36.36363636363637
760397704,18,16,8,8,50
760491844,1,1,1,0,100
761339967,37,14,9,5,64.28571428571429
766083571,13,5,5,0,100
769651811,74,41,33,8,80.48780487804879
770882964,23,10,9,1,90
771199416,12,8,1,7,12.5
772332769,92,59,44,15,74.57627118644068
780031270,37,30,22,8,73.33333333333333
781364041,56,25,16,9,64
783937851,5,5,2,3,40
784563132,46,29,23,6,79.3103448275862
794462444,17,4,3,1,75
796860572,3,3,1,2,33.33333333333333
797951120,24,20,13,7,65
802201569,53,35,28,7,80
803172003,53,32,25,7,78.125
803358389,126,56,40,16,71.42857142857143
805898610,5,0,0,0,NA
806981543,22,4,2,2,50
808059419,13,4,2,2,50
811260628,27,19,9,10,47.368421052631575
821932154,3,2,1,1,50
830209686,28,22,13,9,59.09090909090909
831692089,7,4,2,2,50
834003401,8,6,2,4,33.33333333333333
834795507,54,38,21,17,55.26315789473685
836559007,18,11,4,7,36.36363636363637
836961730,41,36,20,16,55.55555555555556
838893767,70,41,20,21,48.78048780487805
839871706,42,26,20,6,76.92307692307693
840578959,40,35,20,15,57.14285714285714
845783593,2,1,0,1,0
852671568,38,14,3,11,21.428571428571427
855675929,54,29,23,6,79.3103448275862
858087194,20,14,11,3,78.57142857142857
858263042,45,28,19,9,67.85714285714286
864583572,26,18,17,1,94.44444444444444
868476077,66,35,30,5,85.71428571428571
871206306,22,17,10,7,58.82352941176471
872889733,121,74,41,33,55.4054054054054
873980546,17,10,3,7,30
874338044,9,9,4,5,44.44444444444444
874377882,14,13,5,8,38.46153846153847
875617923,38,16,14,2,87.5
879098098,26,21,13,8,61.904761904761905
881343041,82,58,25,33,43.103448275862064
882401901,5,3,0,3,0
890545726,12,10,8,2,80
892964329,64,39,35,4,89.74358974358975
895000685,6,6,2,4,33.33333333333333
895074850,41,35,20,15,57.14285714285714
895906497,24,15,9,6,60
898328544,56,38,21,17,55.26315789473685
908929232,40,14,8,6,57.14285714285714
913912774,19,3,1,2,33.33333333333333
914762638,5,4,1,3,25
915747412,54,34,30,4,88.23529411764706
916030135,3,3,1,2,33.33333333333333
916230731,29,26,9,17,34.61538461538461
920702168,75,50,42,8,84
925466201,9,6,1,5,16.666666666666664
927794038,92,53,40,13,75.47169811320755
928281958,18,8,7,1,87.5
928298294,60,37,30,7,81.08108108108108
933280809,12,10,5,5,50
933678123,40,25,14,11,56.00000000000001
934463319,43,30,20,10,66.66666666666666
949905430,92,56,53,3,94.64285714285714
950843852,37,12,5,7,41.66666666666667
961396255,74,40,30,10,75
962690189,66,38,22,16,57.89473684210527
962997999,25,16,7,9,43.75
976179980,5,5,4,1,80
976616189,21,15,8,7,53.333333333333336
982145956,16,4,2,2,50
983614823,55,27,14,13,51.85185185185185
985312991,25,6,4,2,66.66666666666666
985511973,30,17,10,7,58.82352941176471
995021332,87,55,40,15,72.72727272727273
995552106,12,6,6,0,100
995636356,45,28,16,12,57.14285714285714
