Course Level,n,Course Level Pct
100,1064,18.788627935723117
200,809,14.285714285714285
300,241,4.255694861380894
400,48,0.8476072752957796
500,4,0.07063393960798163
600,41,0.7239978809818117
700,8,0.14126787921596326
NA,3448,60.88645594208016
