College,Hours Per Week
Arts & Sciences,1.0600542385937017
Dual IS/MG,1.1096491228070176
Dual MA/PC,1
Education,1.0752435064935064
Engineering & Computer Science,1.111326134791608
Information Studies,0.9902031610364943
Management,1.0542312524764437
Maxwell,1.125
Professional Studies,0.856712962962963
Public Communications,1.087176163111992
Sport and Human Dynamics,1.1136548652636575
Undecided,1
Visual & Performing Arts,1.074451920531271
NA,1.125
